dataset,field_id,type,description,coverage,alphaCount,userCount,score
analyst4,actual_eps_value_quarterly,MATRIX,Earnings Per Share (Income Statement/Per Share) (Actual),1.0,810,447,197.50664670322905
analyst4,anl4_ady_pu,VECTOR,The number of upper estimations,0.7196,5677,2266,197.0346066228668
pv13,pv13_revere_index_cap,MATRIX,Company market capitalization,0.8495,2047,1201,196.65490043706976
option9,call_breakeven_120,MATRIX,"Price at which a stock's call options with expiration 120 days in the future break even based on its recent bid/ask mean, weighted by open interest or volume",0.9824,948,381,196.52119102913213
news12,nws12_prez_57l,VECTOR,Number of minutes that elapsed before price went up 7.5 percentage points,0.9199,1282,722,196.4766097569502
option8,implied_volatility_mean_skew_30,MATRIX,Skew steepness for the implied volatility duration of 30 calendar days by subtracting the mean implied volatility of the call and put options with strikes at 110% of the money from the mean implied volatility of the call and put options with strikes at 90% of the money,0.9508,985,654,196.4397397242026
option8,implied_volatility_mean_skew_120,MATRIX,Skew steepness for the implied volatility duration of 120 calendar days by subtracting the mean implied volatility of the call and put options with strikes at 110% of the money from the mean implied volatility of the call and put options with strikes at 90% of the money,0.9508,976,654,196.34804269860408
option8,implied_volatility_mean_skew_60,MATRIX,Skew steepness for the implied volatility duration of 60 calendar days by subtracting the mean implied volatility of the call and put options with strikes at 110% of the money from the mean implied volatility of the call and put options with strikes at 90% of the money,0.9508,1093,507,196.2083670677117
pv13,pv13_revere_zipcode,MATRIX,Zip code,0.9328,1265,542,196.2017226267109
pv13,pv13_h_min10_top3000_sector,GROUP,grouping fields,1.0,874,289,196.09164347847877
model51,systematic_risk_last_30_days,MATRIX,"The portion of the security’s return variance attributed to systematic (market) risk, quantified as R² from a regression on SPY, over the last 30 calendar days",0.965,957,474,195.9650517998818
analyst4,anl4_fsactualafv4_item,VECTOR,Financial item,0.7877,2701,2030,195.86889299310337
pv13,pv13_h_min10_all_sector,GROUP,grouping fields,0.9995,914,254,195.84555837854737
news12,news_ton_last,MATRIX,Price at the time of the news,0.9717,849,512,195.82374272069748
option9,call_breakeven_180,MATRIX,Open-interest-weighted mean breakeven price at which buyers of call options break even for options expiring in 180 days,0.9824,905,355,195.70504671469
pv13,pv13_5l_scibr,GROUP,grouping fields,0.9385,1009,682,195.659530396207
socialmedia12,scl12_sentvec,VECTOR,Vector representing the sentiment score (bullish/bearish/neutral) derived from social media data for the instrument,1.0,714,384,195.48904209837897
news12,news_main_vwap,MATRIX,Main session volume-weighted average price,0.9707,947,380,195.3275418981837
option8,implied_volatility_mean_skew_150,MATRIX,Skew steepness for the implied volatility duration of 150 calendar days by subtracting the mean implied volatility of the call and put options with strikes at 110% of the money from the mean implied volatility of the call and put options with strikes at 90% of the money,0.9508,911,609,195.3036946865801
analyst4,anl4_afv4_median_eps,MATRIX,Earnings per share - median of estimations,1.0,644,439,195.12637680251927
news12,news_max_up_amt,MATRIX,After-news high minus the price at the time of the news,0.9692,941,377,195.07452372386155
analyst4,anl4_netprofita_low,MATRIX,Adjusted net income - the lowest estimation,0.7511,4090,1517,194.90119196907185
pv13,pv13_r2_min5_3000_sector,GROUP,grouping fields,1.0,843,237,194.74287831431693
analyst4,anl4_afv4_eps_low,MATRIX,Earnings per share - The lowest estimation for annual frequency,1.0,607,457,194.7360947402326
pv13,pv13_h_f3_sector,GROUP,grouping fields,0.9989,786,261,194.4140050029795
news12,news_vol_stddev,MATRIX,"Z-score of current volume compared to 30-day average volume, using 30-day volume standard deviation",0.9672,927,348,194.32567693887407
analyst4,anl4_ptp_high,MATRIX,Pretax income - the highest estimation,0.7327,3390,2818,194.2794888768269
analyst4,anl4_adxqfv110_pu,VECTOR,The number of upper estimations,0.6979,4883,2626,194.09518730073364
analyst4,anl4_basicconqfv110_pu,VECTOR,The number of upper estimations,0.7262,3857,2295,193.893660721854
analyst4,anl4_ptp_low,MATRIX,Pretax income - the lowest estimation,0.7327,4573,1397,193.765423359796
analyst4,anl4_netprofita_value,MATRIX,Adjusted net income- announced financial value,0.9312,954,604,193.76325569496152
news12,news_pct_90min,MATRIX,Percent change in price during the first 90 minutes following the news release,0.9692,793,398,193.63564169692063
news12,nws12_mainz_57l,VECTOR,Number of minutes that elapsed before price went up 7.5 percentage points,0.9741,740,410,193.58297232544209
analyst4,est_ptp,MATRIX,Pretax income - mean of estimations,0.7527,3037,1930,193.28851324369973
analyst4,anl4_epsr_low,MATRIX,GAAP Earnings per share - The lowest estimation,0.7153,5019,1466,193.19672601757267
news12,news_eod_low,MATRIX,Lowest price from the time of news to end of session,0.9707,874,290,193.17885519943363
option9,pcr_oi_20,MATRIX,Ratio of put open interest to call open interest on a stock's options with expiration 20 days in the future,0.9838,687,355,193.0925420335936
option9,forward_price_20,MATRIX,Synthetic forward price for the underlying at 20 days derived from put-call parity using ATM options and adjusted for interest rates and dividends,0.9796,704,349,192.83164380054
analyst4,anl4_afv4_eps_number,MATRIX,Earnings per share - number of estimations for annual frequency,1.0,561,361,192.77323955806577
analyst4,est_netprofit,MATRIX,Net profit - mean of estimations,0.7861,2480,1323,192.7162335194028
news12,nws12_mainz_mov_vol,VECTOR,30-day moving average session volume,0.9689,784,324,192.4659630894728
news12,nws12_mainz_prev_vol,VECTOR,Previous day's session volume,0.9733,693,373,192.37599859214072
analyst4,anl4_ebit_number,MATRIX,Earnings before interest and taxes - number of estimations,0.7097,3584,2698,192.3183205954272
option8,implied_volatility_mean_skew_10,MATRIX,Skew steepness for the implied volatility duration of 10 calendar days by subtracting the mean implied volatility of the call and put options with strikes at 110% of the money from the mean implied volatility of the call and put options with strikes at 90% of the money,0.9508,793,430,192.1813750629901
news12,nws12_prez_01l,VECTOR,Number of minutes that elapsed before price went up 10 percentage points,0.9199,980,511,192.0673477208512
option8,implied_volatility_mean_skew_20,MATRIX,Skew steepness for the implied volatility duration of 20 calendar days by subtracting the mean implied volatility of the call and put options with strikes at 110% of the money from implied volatility of the call and put options with strikes at 90% of the money,0.9508,733,490,192.04731092511776
pv13,pv13_4l_scibr,GROUP,grouping fields,0.9385,786,543,192.02702871845372
option9,option_breakeven_10,MATRIX,Open-interest-weighted mean breakeven price at which buyers of calls and puts combined break even for options expiring in 10 days,0.9835,684,287,191.958990783302
news12,news_pct_120min,MATRIX,Percent change in price during the first 120 minutes following the news release,0.9063,1037,582,191.9214465690108
analyst4,anl4_netprofita_number,MATRIX,Adjusted net income - number of estimations,0.7511,2697,1920,191.91566618151975
pv13,pv13_h_min51_f3_sector,GROUP,grouping fields,0.9989,755,171,191.9078861458626
pv13,pv13_r2_min10_3000_sector,GROUP,grouping fields,1.0,659,212,191.72885917875183
analyst4,anl4_qfv4_actual,VECTOR,Announced financial data,0.9925,485,453,191.70257222921168
news12,news_atr_ratio,MATRIX,Ratio of current day's price range to 20-day average true range,0.7967,2598,791,191.67162730548705
news12,news_pct_30sec,MATRIX,Percent change in price in the 30 seconds after the news release,0.9673,635,432,191.63567427341368
option9,call_breakeven_270,MATRIX,Price at which a stock's call options with expiration 270 days in the future break even based on its recent bid/ask mean,0.9824,668,284,191.5602865026256
option9,pcr_vol_270,MATRIX,"Ratio of total put options volume to call options volume for contracts expiring 270 days in the future, indicating short-term options flow sentiment at longer tenor",0.981,603,355,191.5103956336083
socialmedia12,scl12_typevec,VECTOR,Vector containing the type indices identifying the categories of instruments in the dataset,1.0,554,285,191.4696401915636
analyst4,anl4_capex_value,MATRIX,Capital Expenditures - announced financial value,0.6592,6549,1786,191.2336708620901
option9,call_breakeven_150,MATRIX,"Price at which a stock's call options with expiration 150 days in the future break even based on its recent bid/ask mean, weighted by open interest or volume",0.9824,666,264,191.1665495890873
option9,call_breakeven_60,MATRIX,"Open interest-weighted mean breakeven price for call options expiring in 60 days, showing average price at which call buyers break even",0.9824,631,293,191.146792778162
pv13,pv13_6l_scibr,GROUP,grouping fields,0.9385,757,488,191.11864630379807
option9,forward_price_30,MATRIX,"Synthetic forward price at 30 days expiry, derived from at-the-money call and put options, reflecting market consensus forward expectation",0.9796,621,312,191.02041688009257
pv13,rel_ret_part,MATRIX,Averaged one-day return of the instrument's partners,0.7097,3926,1722,190.98542172841977
pv13,pv13_h_min5_3000_sector,GROUP,grouping fields,1.0,620,192,190.6267617638592
option9,pcr_vol_180,MATRIX,"Ratio of total put option volume to call option volume for options expiring in 180 days, capturing short-term options flow sentiment",0.981,539,368,190.56967461578583
analyst4,anl4_median_epsreported,MATRIX,GAAP Earnings per share - median of estimations,0.7153,3832,1453,190.4543989442729
analyst4,anl4_bac1detaillt_item,VECTOR,Financial item,0.6827,4106,2405,190.40308562223868
news12,news_pct_60min,MATRIX,Percent change in price during the first 60 minutes following the news release,0.9692,618,341,190.37510641215897
analyst4,anl4_fs_guidances_advanced_qf_nd_netprofita_minguidance,MATRIX,Minimum guidance value for adjusted net income,1.0,428,377,190.2890401673781
option9,forward_price_180,MATRIX,Synthetic forward price at 180 days derived from put-call parity using at-the-money calls and puts reflecting market consensus forward expectation,0.9796,588,293,190.16216067320929
news12,news_pct_30min,MATRIX,Percent change in price during the first 30 minutes following the news release,0.9717,584,345,190.1183123476072
option9,call_breakeven_720,MATRIX,Weighted mean breakeven price of call options expiring in 720 days indicating the price at which call buyers break even,0.9824,583,273,190.00465036022263
option9,forward_price_720,MATRIX,Synthetic forward price at 720 days derived from at-the-money call and put options reflecting the market's forward expectation of the underlying security,0.9796,567,287,189.69601658789125
option9,call_breakeven_360,MATRIX,"Weighted mean break-even price of call options expiring in 360 days, based on recent bid/ask prices",0.9824,570,256,189.45927252103624
option9,pcr_vol_10,MATRIX,"Ratio of total put option volume to call option volume for options expiring in 10 days, reflecting very short-term sentiment flow",0.981,523,304,189.31647572624743
option9,forward_price_1080,MATRIX,"Synthetic forward price at 1080 days derived from at-the-money call and put option prices, reflecting market consensus for the underlying at that tenor",0.9796,525,308,189.27971851186584
analyst4,anl4_ebit_low,MATRIX,Earnings before interest and taxes - The lowest estimation,0.7097,3918,1213,189.21429784009356
news12,nws12_prez_4p,VECTOR,The minimum of L or S above for 4-minute bucket,0.9199,806,426,189.20715674884264
analyst4,anl4_dez1qfv4_preest,VECTOR,The previous estimation of finanicial item,0.964,518,419,189.12031238804596
analyst4,anl4_cuo1detailafv110_item,VECTOR,Financial item,0.688,3926,1798,189.0312417155328
news12,nws12_mainz_curr_vol,VECTOR,Current day's session volume,0.9733,518,331,188.87471367624136
analyst4,anl4_capex_high,MATRIX,Capital Expenditures - The highest estimation,0.6173,8457,1538,188.85312084951877
news12,news_post_vwap,MATRIX,Post-session volume-weighted average price,0.9705,557,298,188.7958074907665
option9,forward_price_360,MATRIX,"Synthetic forward price at 360 days derived from put-call parity using ATM call and put prices, reflecting the market-consensus forward expectation of the underlying",0.9796,578,226,188.69777486313697
option9,pcr_vol_1080,MATRIX,Ratio of put volume to call volume on a stock's options with expiration 1080 days in the future.,0.981,502,291,188.6896707123388
analyst4,est_sales,MATRIX,Sales - mean of estimations,0.7458,2789,1043,188.67204259036703
pv13,pv13_h_min30_3000_mapped_sector,GROUP,grouping fields,1.0,532,173,188.5804907377311
analyst4,actual_sales_value_quarterly,MATRIX,Sales - Value in financial services income statement (in millions),1.0,421,276,188.57014067129683
option9,option_breakeven_120,MATRIX,"Weighted mean breakeven price for combined call and put options with expiration 120 days in the future, based on recent bid/ask mid-prices and weighted by open interest or volume",0.9835,540,233,188.56079836525333
option9,option_breakeven_270,MATRIX,The weighted mean price at which buyers of call and put options combined break even at 270 days to expiry based on recent bid/ask prices,0.9835,577,192,188.2591896312482
news12,news_mins_3_pct_up,MATRIX,Number of minutes before the price increased by at least 3 percent after the news release,0.9209,737,400,188.0992453825376
analyst4,est_epsr,MATRIX,GAAP Earnings per share - mean of estimations,0.7405,2862,968,188.027576110435
analyst4,anl4_capex_low,MATRIX,Capital Expenditures - The lowest estimation,0.6173,7535,1626,187.97693369865715
news12,news_mins_5_pct_dn,MATRIX,Number of minutes before the price decreased by at least 5 percent after the news release,0.8467,1212,637,187.97021050616445
analyst4,anl4_ebit_high,MATRIX,Earnings before interest and taxes - The highest estimation,0.7097,3358,1285,187.9604454201108
option9,option_breakeven_20,MATRIX,Price at which a stock's options with expiration 20 days in the future break even based on its recent bid/ask mean,0.9835,458,286,187.93791317940355
news12,nws12_mainz_mktcap,VECTOR,Reported market capitalization for the calendar day of the session,0.9726,627,187,187.86761147883172
pv13,pv13_hierarchy_min2_focused_pureplay_3000_513_sector,GROUP,grouping fields,0.9929,400,302,187.7982783006125
option9,forward_price_270,MATRIX,Synthetic forward price at 270 days expiry derived from ATM calls and puts reflecting the market-consensus forward expectation,0.9796,515,233,187.6976732316041
news12,news_mins_7_5_pct_dn,MATRIX,Number of minutes elapsed before price decreases by 7.5 percentage points after the event,0.8817,914,519,187.62838471063256
option9,forward_price_120,MATRIX,Synthetic forward price at 120 days derived from at-the-money call and put options reflecting the market's forward expectation of the underlying security,0.9796,429,331,187.6235269314585
option9,option_breakeven_1080,MATRIX,Open-interest-weighted mean breakeven price at which buyers of calls and puts combined break even for options expiring in 1080 days,0.9835,525,203,187.59361209659815
option9,pcr_vol_360,MATRIX,Ratio of put volume to call volume on a stock's options with expiration 360 days in the future,0.981,470,261,187.4903034589697
analyst4,est_capex,MATRIX,Capital Expenditures - mean of estimations,0.6427,5859,1464,187.4771014329665
news12,news_mins_4_pct_up,MATRIX,Number of minutes before the price increased by at least 4 percent after the news release,0.9673,522,277,187.4639202091024
option9,option_breakeven_180,MATRIX,"Weighted mean break-even price for combined call and put options expiring in 180 days, based on recent bid/ask prices",0.9835,487,225,187.3558290548929
analyst4,anl4_cfo_low,MATRIX,Cash Flow From Operations - The lowest estimation,0.6232,6985,1471,187.30852075011188
news12,news_mins_20_pct_up,MATRIX,Number of minutes that elapsed before price went up 20 percentage points,0.9673,491,303,187.29992567195416
option9,option_breakeven_30,MATRIX,"Open-interest-weighted average breakeven price of all call and put options expiring in 30 days, representing the price at which option buyers collectively break even",0.9835,455,246,187.12186977828375
news12,news_mov_vol,MATRIX,30-day moving average of session volume,0.8046,1721,618,187.11294321329973
news12,news_ton_high,MATRIX,Highest price reached during the session before the time of news,0.9707,499,261,187.0578035030274
pv1,adjfactor,MATRIX,Adjustment factor applied to historical prices and dividends to account for splits and other corporate actions,1.0,484,153,187.026251921443
option9,forward_price_150,MATRIX,Synthetic forward price at 150 days derived from at-the-money call and put options reflecting the market's forward expectation of the underlying security,0.9796,446,269,186.9776957411276
option9,forward_price_60,MATRIX,Synthetic forward price at 60 days derived from at-the-money call and put options reflecting the market's forward expectation of the underlying security,0.9796,443,271,186.94725595580223
option9,call_breakeven_90,MATRIX,Price at which a stock's call options with expiration 90 days in the future break even based on its recent bid/ask mean,0.9824,427,275,186.93323628440373
analyst4,anl4_fs_detail_estimates_basic_qf_delay1_v4_nd_sales_number,MATRIX,Number of Sales estimates,0.9852,389,313,186.9284323207782
option9,put_breakeven_120,MATRIX,Price at which a stock's put options with expiration 120 days in the future break even based on its recent bid/ask mean,0.9795,442,267,186.84063260300564
news12,nws12_prez_5p,VECTOR,The minimum of L or S above for 5-minute bucket,0.9199,614,451,186.77463357722635
option9,put_breakeven_90,MATRIX,Open-interest-weighted mean breakeven price at which buyers of put options break even for options expiring in 90 days,0.9795,453,250,186.7582366760724
analyst4,anl4_bac1detailrec_item,VECTOR,Financial item,0.7128,2880,1290,186.7547893050785
news12,news_ton_low,MATRIX,Lowest price reached during the session before the time of news,0.9707,481,247,186.4165848713309
option9,pcr_vol_120,MATRIX,Ratio of put options volume to call options volume for contracts expiring in 120 days on a stock's options,0.981,397,285,186.24447910694363
option9,put_breakeven_720,MATRIX,Weighted mean breakeven price of put options expiring in 720 days indicating the put buyers break-even price based on recent bid/ask,0.9795,414,260,186.05538723892045
pv13,pv13_h_min52_3000_sector,GROUP,grouping fields,1.0,478,129,186.05467822638707
news12,news_mins_1_chg,MATRIX,Minimum number of minutes taken for price to move (up or down) 1 percentage point after the event,0.9175,657,356,186.0307282221513
analyst4,anl4_fs_detail_estimate_1qf_v4_nd_netprofit_number,MATRIX,Net Profit - number of analyst estimates,0.9409,488,396,185.93330629818468
analyst4,anl4_basicconafv110_pu,VECTOR,The number of upper estimations,0.7343,2118,1277,185.7822537573704
option9,put_breakeven_30,MATRIX,The weighted mean break-even price of put options expiring in 30 days based on recent bid/ask prices,0.9795,404,257,185.75366859567347
analyst4,anl4_epsr_high,MATRIX,GAAP Earnings per share - The highest estimation,0.7153,2575,1252,185.7364106467228
news12,nws12_prez_mov_vol,VECTOR,30-day moving average session volume,0.9123,693,331,185.6803944496505
option9,pcr_vol_all,MATRIX,"Ratio of total put option volume to call option volume aggregated across all maturities, measuring short-term options flow sentiment",0.981,411,236,185.6505341991709
socialmedia12,snt_value_fast_d1,MATRIX,"Negative sentiment score/indicator for current day, with missing values filled as 0",0.9769,384,282,185.44966783109405
socialmedia12,scl12_sentiment_fast_d1,MATRIX,sentiment,0.9756,391,275,185.3746227264904
analyst4,anl4_fs_actuals_advanced_af_nd_currency,MATRIX,Pricing currency in which the security trades,1.0,312,264,185.36068103533265
option9,forward_price_90,MATRIX,"Synthetic forward price at 90 days derived from put-call parity using ATM call and put prices, reflecting the market-consensus forward expectation of the underlying",0.9796,403,233,185.2507543564
option9,put_breakeven_360,MATRIX,Open-interest-weighted mean breakeven price at which buyers of put options break even for options expiring in 360 days,0.9795,406,227,185.18485999919812
analyst4,anl4_totassets_low,MATRIX,Total Assets - The lowest estimation,0.7213,2287,1196,184.9222020527868
news12,nws12_allz_newrecord,VECTOR,Tracks whether the news is first instance or a duplicate,0.9745,387,262,184.9208235571216
analyst4,earnings_per_share_average,MATRIX,Earnings per share - mean of estimations,1.0,312,236,184.8023326110772
analyst4,sales_min_guidance_quarterly,MATRIX,Minimum guidance value for Sales,1.0,314,226,184.6504764756633
option9,put_breakeven_150,MATRIX,Open-interest-weighted mean breakeven price at which buyers of put options break even for options expiring in 150 days,0.9795,407,199,184.5542585767818
analyst4,actual_sales_value_annual,MATRIX,Sales - Actual Value,0.9943,316,240,184.44300240622607
option9,put_breakeven_60,MATRIX,"Price at which a stock's put options with expiration 60 days in the future break even based on its recent bid/ask mean, weighted by open interest or volume",0.9795,384,218,184.42779199196036
analyst4,est_netprofit_adj,MATRIX,Adjusted net income - Mean of estimations,0.7731,1516,864,184.36854732814476
option9,put_breakeven_20,MATRIX,"Price at which a stock's put options with expiration 20 days in the future break even based on its recent bid/ask mean, weighted by open interest or volume",0.9795,365,235,184.2954923591417
analyst4,anl4_fs_detail_estimates_basic_qf_v4_nd_sales_number,MATRIX,Sales - number of estimations,0.9852,320,268,184.20796812930936
option9,option_breakeven_360,MATRIX,"Open-interest-weighted average breakeven price of all call and put options expiring in 360 days, representing the price at which option buyers collectively break even",0.9835,406,172,184.20458982691488
news12,news_mins_4_pct_dn,MATRIX,Number of minutes before the price decreased by at least 4 percent after the news release,0.971,386,238,184.06656468995536
socialmedia12,scl12_alltype_buzzvec,VECTOR,sentiment volume,0.9525,439,265,184.03522881303155
option9,pcr_vol_60,MATRIX,"Ratio of total put options volume to call options volume for contracts expiring 60 days in the future, indicating short-term options flow sentiment",0.981,335,245,183.79776927929385
analyst4,sales_max_guidance_quarterly,MATRIX,The maximum guidance value for sales.,1.0,280,239,183.7867413100474
analyst4,anl4_netprofit_low,MATRIX,Net Profit - The Lowest Estimation,0.7667,1469,891,183.5675074606279
news12,nws12_allz_provider,VECTOR,index of name of the news provider,0.9745,359,225,183.41371531086295
option9,put_breakeven_180,MATRIX,"Weighted mean breakeven price of put options expiring in 180 days derived from open interest or volume, indicating the price at which put buyers break even",0.9795,346,215,183.3196398378894
pv13,pv13_rha2_min5_sector,GROUP,grouping fields,0.722,2048,1056,183.2670214117402
news12,nws12_prez_provider,VECTOR,index of name of the news provider,0.9199,565,261,183.21766330083733
option9,option_breakeven_90,MATRIX,Open-interest-weighted mean breakeven price at which buyers of calls and puts combined break even for options expiring in 90 days,0.9835,346,189,183.07836816027103
option9,pcr_vol_150,MATRIX,"Ratio of total put options volume to call options volume for options expiring in 150 days, reflecting short-term options flow sentiment",0.981,347,195,183.0125980938973
analyst4,anl4_gric_value,MATRIX,Gross income- announced financial value,0.6954,2206,1444,182.9132170653
option9,pcr_vol_30,MATRIX,Ratio of put volume to call volume on a stock's options with expiration 30 days in the future,0.981,327,206,182.69373005016823
option9,put_breakeven_270,MATRIX,Weighted mean breakeven price of put options expiring in 270 days indicating the break even price for put buyers based on recent bids and asks,0.9795,360,175,182.69119955851957
analyst4,anl4_fsdtlestmtbscv104_item,VECTOR,Financial item,0.8087,910,810,182.50676924317665
analyst4,anl4_fs_guidances_advanced_qf_nd_netprofita_maxguidance,MATRIX,Maximum guidance value for Adjusted net income,1.0,262,211,182.5044716951377
news12,nws12_prez_57s,VECTOR,Number of minutes that elapsed before price went down 7.5 percentage points,0.9199,451,355,182.5014754525825
pv13,pv13_ustomergraphrank_hub_rank,MATRIX,the HITS hub score of customers,0.7906,1123,742,182.3599705281252
news12,news_short_interest,MATRIX,Ratio of total number of shares sold short to total shares outstanding,0.872,637,451,182.35179373260905
news12,nws12_prez_1p,VECTOR,The minimum of L or S above for 1-minute bucket,0.9199,507,267,182.24974937833912
news12,nws12_mainz_02l,VECTOR,Number of minutes that elapsed before price went up 20 percentage points,0.9741,351,187,182.22852157013077
pv13,pv13_ustomergraphrank_page_rank,MATRIX,the PageRank of customers,0.7906,1082,745,182.00853047102868
option9,pcr_vol_20,MATRIX,"Ratio of put option volume to call option volume for options expiring in 20 days, signaling short-term options flow sentiment",0.981,305,206,181.99944498585063
analyst4,anl4_netprofita_mean,MATRIX,Adjusted net income - mean of estimations,0.7511,1428,937,181.9760515243298
pv13,pv13_rha2_min2_sector,GROUP,grouping fields,0.722,1846,994,181.92689348778532
option9,pcr_vol_90,MATRIX,"Ratio of put options volume to call options volume for stock options expiring in 90 days, indicating short-term options flow sentiment",0.981,281,239,181.9222653260911
option9,option_breakeven_60,MATRIX,The weighted mean price at which buyers of call and put options combined break even at 60 days to expiry based on recent bid/ask prices,0.9835,308,186,181.8389558532504
option9,option_breakeven_150,MATRIX,Price at which a stock's options with expiration 150 days in the future break even based on its recent bid/ask mean,0.9835,329,161,181.7789082207672
news12,nws12_prez_4s,VECTOR,Number of minutes that elapsed before price went down 4 percentage points,0.9199,519,216,181.42777488345703
analyst4,anl4_ebit_median,MATRIX,Earnings before interest and taxes - median of estimations,0.7097,1952,999,181.27999570367749
socialmedia12,scl12_buzz_fast_d1,MATRIX,relative sentiment volume,0.9756,294,210,181.1890442307785
pv1,ticker,SYMBOL,Ticker,1.0,293,129,181.17346992566476
analyst4,anl4_qf_az_eps_mean,MATRIX,Earnings per share - mean of estimations,0.7848,1117,650,181.0655147481933
analyst4,anl4_basicconqfv110_numest,VECTOR,The number of forecasts counted in aggregation,0.7262,1469,1151,180.796451004007
option9,option_breakeven_720,MATRIX,Price at which a stock's options with expiration 720 days in the future break even based on its recent bid/ask mean,0.9835,297,157,180.6339100301889
pv13,pv13_revere_index_value,MATRIX,Value of specified index for the date,0.8603,598,456,180.6060329356255
option9,pcr_vol_720,MATRIX,Ratio of put options volume to call options volume for contracts expiring in 720 days on a stock's options,0.981,271,197,180.59935581643265
analyst4,anl4_basicconltv110_numest,VECTOR,The number of forecasts counted in aggregation,0.7004,1719,1319,180.46773077597703
analyst4,anl4_detailrecv4v104_est,VECTOR,Estimation value,0.7885,1001,662,180.43140776737735
analyst4,anl4_netprofit_median,MATRIX,Net profit - Median of estimations,0.7667,1129,797,180.3802721043129
analyst4,anl4_bvps_number,MATRIX,Book value per share - number of estimations,0.6499,2303,1952,180.2996298725412
analyst4,est_ebit,MATRIX,Earnings before interest and taxes - mean of estimations,0.7309,2158,432,180.2176929451605
analyst4,est_cashflow_op,MATRIX,Cash Flow From Operations - mean of estimations,0.6518,2645,1376,180.1263559403923
news12,news_mins_3_chg,MATRIX,Minimum number of minutes taken for price to move (up or down) 3 percentage points after the event,0.9174,440,240,180.05443342192174
analyst4,anl4_basicconqfv110_mean,VECTOR,Mean of estimations,0.7262,1309,1218,179.92675480935833
analyst4,est_tot_assets,MATRIX,Total Assets - mean of estimations,0.7522,1342,685,179.9010001038618
analyst4,anl4_fsdtlestmtbscqv104_item,VECTOR,Financial item,0.7904,1107,468,179.8961325153037
analyst4,anl4_basicconqfv110_down,VECTOR,Number of lower estimations,0.7262,1296,1176,179.6517123794658
news12,nws12_afterhsz_57s,VECTOR,Number of minutes that elapsed before price went down 7.5 percentage points,0.707,2104,650,179.61325567220766
analyst4,anl4_cuo1detailqfv110_item,VECTOR,Financial item,0.6295,2855,1599,179.4105677757341
pv13,pv13_2l_scibr,GROUP,grouping fields,0.9385,362,202,179.36005823785746
socialmedia12,snt_buzz_fast_d1,MATRIX,"Negative relative sentiment volume measure for current day, with missing values filled as 0",0.9769,239,213,179.32626930852916
analyst4,max_shareholders_equity_guidance,MATRIX,The maximum guidance value for Total Shareholders' Equity.,1.0,205,178,179.2156907170996
news12,nws12_prez_5l,VECTOR,Number of minutes that elapsed before price went up 5 percentage points,0.9199,420,208,179.12799959664787
news12,news_mins_10_chg,MATRIX,"Minimum value among L or S for each minute bucket, indicating the fastest reaction time at the 10th percentile",0.7395,1631,512,179.12699458109438
news12,news_all_vwap,MATRIX,"VWAP across all sessions (pre, main, post)",0.728,1582,676,179.0591269633715
analyst4,actuals_reporting_currency,VECTOR,Home currency of instrument,0.9876,268,129,179.04478604829632
news12,nws12_mainz_vol_ratio,VECTOR,Curr_Vol / Mov_Vol,0.9712,339,111,179.00195053257755
analyst4,est_shequity,MATRIX,Mean of SH Equity segment - mean of estimations,0.7598,1237,562,178.8589226731439
analyst4,operating_profit_max_guidance_qtr,MATRIX,The maximum guidance value for Earnings Before Interest and Taxes.,1.0,194,179,178.69477984008853
analyst4,dividend_max_guidance_value,MATRIX,The maximum guidance value for Dividend per share on an annual basis.,1.0,203,153,178.3659629505103
analyst4,operating_profit_before_depr_amort_min_guidance_qtr,MATRIX,"Minimum guidance value for Earnings before interest, taxes, depreciation and amortization",1.0,189,173,178.26551721767748
analyst4,anl4_adxqfv110_numest,VECTOR,The number of forecasts counted in aggregation,0.6979,1516,1118,178.1358533350449
news12,news_mins_3_pct_dn,MATRIX,Number of minutes before the price decreased by at least 3 percent after the news release,0.9174,371,221,177.94232545209286
analyst4,operating_profit_before_depr_amort_max_guidance_qtr,MATRIX,"Max guidance value for Earnings before interest, taxes, depreciation and amortization",1.0,183,171,177.88682996015714
analyst4,anl4_total_rec,VECTOR,The total number of recommendations,0.6243,2540,1651,177.88183960360624
analyst4,anl4_netprofita_high,MATRIX,Adjusted Net Income - the highest estimation,0.7511,1048,732,177.65165459339624
analyst4,anl4_fs_detail_estimate_1qf_v4_nd_epsr_number,MATRIX,Number of EPS growth rate estimates,0.8623,463,391,177.48515472121483
news12,news_mins_4_chg,MATRIX,"Minimum value among L or S (minutes to reach positive/negative return thresholds) for each minute bucket, representing the fastest reaction time at the 4th percentile",0.9209,364,191,177.37645039596384
news12,nws12_prez_allticks,VECTOR,Total number of ticks for the trading day,0.9199,350,210,177.357152902039
pv13,pv13_new_6l_scibr,GROUP,grouping fields,0.9896,220,131,177.35563662810938
analyst4,anl4_dez1afv4_est,VECTOR,Estimation value,0.967,242,170,177.33893221591876
analyst4,net_income_adjusted,MATRIX,Adjusted net income- announced financial value for annual frequency,0.9134,343,234,177.04434414445478
news12,news_mins_10_pct_up,MATRIX,Number of minutes before the price increased by at least 10 percent after the news release,0.6282,2542,1267,176.95697832920706
pv13,pv13_hierarchy_min2_pureplay_only_sector,GROUP,grouping fields,0.7036,1421,866,176.78339098753457
